AFF_LOVE_POINT	הÞ״ֹ ָֽ :%d%%
TOOLTIP_INT	ֵ׃Ê־ַַָׁÊ +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Þםדֹ ַבוּזד %d
TOOLTIP_ITEM_ATT_POWER	Þםדֹ ַבוּזד %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Þםדֹ ַבוּזד %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Þםדֹ ַבוּזד %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	׃ׁÚֹ ַבוּזד %s
TOOLTIP_ITEM_DEF_GRADE	ֿÝַÚ %d
TOOLTIP_ITEM_FAST	׃ׁםÚ
TOOLTIP_ITEM_LIMIT_CON	ַבֽֿ ַבֳÞױל דה Þזֹ ַבֽםַֹ %d
TOOLTIP_ITEM_LIMIT_DEX	ַבֽֿ ַבֳÞױל דה ַבÊֽׁß  %d
TOOLTIP_ITEM_LIMIT_INT	ַבֽֿ ַבֳÞױל דה ַב׀ßֱַ %d
TOOLTIP_ITEM_LIMIT_LEVEL	ַָÊֱַֿ דה ד׃Êזל: %d
TOOLTIP_ITEM_LIMIT_STR	ֽֿ ַבÞזֹ ַבÞױזל: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Þםדֹ ַבוּזד ַב׃ֽׁם %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Þםדֹ ַבוּזד ַב׃ֽׁם %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	ַבֿÝַÚ ַב׃ֽׁם %d
TOOLTIP_ITEM_NORMAL	״ָםÚם
TOOLTIP_ITEM_SLOW	ָ״םֱ
TOOLTIP_ITEM_VERY_FAST	׃ׁםÚ ַּֿנ
TOOLTIP_ITEM_VERY_SLOW	ָ״םֱ ַּֿנ
TOOLTIP_ITEM_WEARABLE_JOB	[Þַָב בÊּוםׂ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	ׁÞד ַבֽÙ: %d
TOOLTIP_MAGIC_ATT_GRADE	Þםדֹ ַבוּזד ַב׃ֽׁם +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	ֿÝַÚ ׃ֽׁם +%d	SA
TOOLTIP_MALL_ATTBONUS	Þםדֹ ַבוּזד +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Þםדֹ ַבוּזד +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	׃ם׃ּב ַבםַהÛ ÊבÞֶַםַנ	SNA
TOOLTIP_MALL_DEFBONUS	ַבֿÝַÚ +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	ַבֿÝַÚ +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	הÞַ״ ַב־ָֹׁ +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	הÞַ״ ַב־ָֹׁ בדÞול ַבֵהÊׁהÊ ַבֵײַÝםֹ +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% הÞַ״ ־ָֹׁ ֵײַÝםֹ	SNA
TOOLTIP_MALL_FISH_MIND	Ýׁױֹ ֵבÊÞַ״ ַב׃דßֹ ַׁÊÝÚÊ	SNA
TOOLTIP_MALL_GOLDBONUS	Ýׁױֹ ׃Þז״ ַבםַהÛ(%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Ýׁױֹ ׃Þז״ ַבםַהÛ ַבדײַÚÝֹ	SNA
TOOLTIP_MALL_ITEMBONUS	Ýׁױֹ ׃Þז״ ַבֳװםֱַ (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	דÞול ַהÊׁהÊ Ýׁױֹ ַבֽױזב Úבל ַב׃בÚ ֶַֿׂ .1   	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Ýׁױֹ ׃Þז״ ַבֳװםֱַ ַבדײַÚÝֹ	SNA
TOOLTIP_MALL_MARRIAGE_FAST	הÞַ״ ַבָֽ Êהדז ָ׃ׁÚֹ ֳßֻׁ.	SNA
TOOLTIP_MALL_SAFEBOX	והַß ד׃ַֹֽ Ê־ׂםה דÊַֹֽ ֳßֻׁ.	SNA
TOOLTIP_MAX_HP	הÞַ״ ַבֳ׃בזָ ַבÞױזל +%d	SA
TOOLTIP_MAX_HP_PCT	הÞַ״ ַבֳ׃בזָ ַבÞױזל +%d%%	SA
TOOLTIP_MAX_SP	הÞַ״ ַבֳ׃בזָ ַבÞױזל +%d	SA
TOOLTIP_MAX_SP_PCT	הÞַ״ ַבֳ׃בזָ ַבÞױזל +%d%%	SA
TOOLTIP_MAX_STAMINA	דֹֿ ַבÊֽדב ַבÞױזל +%d	SA
TOOLTIP_MEMORIZED_POSITION	d%,%d)%s)
TOOLTIP_MEMORIZED_POSITION_ERROR	־״ֳ GPS(%d, %d)
TOOLTIP_MOV_SPEED	׃ׁÚֹ ַבÊֽׁß %d%%	SA
TOOLTIP_NECK	Þבַֹֿ
TOOLTIP_NEED_ALL_SP	הÞַ״ ַבֳ׃בזָ ַבד״בזָֹ: ֽֿ ֳÞױל.
TOOLTIP_NEED_GSP	װָֽ ַבÊהםה ַבד״בזָ: %d
TOOLTIP_NEED_HP	הÞַ״ ַבֽםַֹ ַבד״בזָֹ: %d
TOOLTIP_NEED_HP_PER_SEC	הÞַ״ ַבֽםַֹ: %d / ַֻהםֹ
TOOLTIP_NEED_SKILL_POINT	הÞַ״ ַבדוַֹׁ ַבד״בזָֹ:
TOOLTIP_NEED_SP	הÞַ״ ַבֳ׃בזָ ַבד״בזָֹ: %d
TOOLTIP_NEED_SP_PER_SEC	הÞַ״ ַבֳ׃בזָ: %d / ַֻהםֹ
TOOLTIP_NEXT_SKILL_LEVEL_1	ַבד׃Êזל ַבÊַבם: %d (ַבֽֿ ַבֳÞױל %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	ַבד׃Êזל ַבÊַבם: %d (ַבֽֿ ַבֳÞױל %d%-d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	דÚֿב ַבֳײַׁׁ %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	דÚֿב דÞַזדֹ ַבֳײַׁׁ %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	ֳÚײֱַ ַבדּדזÚֹ ֳßֻׁ דה %d
TOOLTIP_PARTY_INFO_GRADE_UP2	ד׃Êזל ַבוּזד +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	ד׃Êזל ַבֿÝַÚ +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	ֵ׃ÊÚַֹֿ הÞַ״ ַבֽםַֹ/הÞַ״ ַבֳ׃בזָ בּדםÚ ֳÚײֱַ ַבדּדזÚֹ דֹׁ ßב 60 ֿÞםÞֹ
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	ֵ׃ÊÚַֹֿ הÞַ״ ַבֽםַֹ/הÞַ״ ַבֳ׃בזָ בּדםÚ ֳÚײֱַ ַבדּדזÚֹ דֹׁ ßב 30 ֿÞםÞֹ
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Úבםß ֵהÊÙַׁ 3 ֿÞֶַÞ ָÚֿ דזÊ ֳֽֿ ֳÚײֱַ ַבדּדזÚֹ
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Ê׃Ê״םÚ Ýם ֳם זÞÊ ַ׃ÊֿÚֱַ ֳÚײֱַ ַבדּדזÚֹ Úבל הÝ׃ ַב־ַֿד.
TOOLTIP_PARTY_INFO_SET_ATTACKER	ד׃Êזל ַבוּזד +(ֳÚײֱַ ַבדּדזÚֹ\\2) םדßה ֵ־Êםַׁ ַבדוַּדםה %d
TOOLTIP_PARTY_INFO_SET_TANKER	דֽׁבֹ ַבֿÝַÚ+(Úֿֿ ֳÚײֱַ ַבדּדזÚֹ) םדßה ַ־Êםַׁ 1 דÞַÊב Úה Þָׁ.
TOOLTIP_PARTY_SKILL_LEVEL	ַבד׃Êזל ַבַֽבם: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Êֽ׃םה וּזד/ֿÝַÚ]
TOOLTIP_PARTY_TITLE_HEAL	[ֵ׃ÊÚַֹֿ]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	ֳßֻׁ דה %d דה ֳÚײֱַ ַבדּדזÚֹ ַÚ״ז הÞַ״ ־ָֹׁ ֵײַÝםֹ %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[הÞַ״ ־ָֹׁ ֵײַÝםֹ]
TOOLTIP_PARTY_TITLE_RECALL	[ַ׃ÊֿÚֱַ]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Êֽֿםֿ ַבדוַּדםה]
TOOLTIP_PARTY_TITLE_SET_TANKER	[ÊÚםםה דַָֽׁ בבÞÊַב Úה Þָׁ]
TOOLTIP_PICK_EXP	הÞַ״: %d / %d
TOOLTIP_PICK_LEVEL	ַבד׃Êזל: %d
TOOLTIP_PICK_UPGRADE1	ֳÚ״ם בבֽ״ַָ
TOOLTIP_PICK_UPGRADE2	בÊֽ׃םה
TOOLTIP_PICK_UPGRADE3	ֵהÞׁ והַ בÊֽ׃םה
TOOLTIP_POTION_CURE	ֵÚַֹֿ ַבÊֳֻםׁ ַב׃בָם
TOOLTIP_POTION_MIN	ֿÞםÞֹ
TOOLTIP_POTION_PLUS_ATTACK_SPEED	׃ׁÚֹ ַבוּזד: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	הÞַ״ ַבֽםַֹ: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	הÞַ״ ַבֽםַֹ: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	׃ׁÚֹ ַבוּזד: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	הÞַ״ ַבֳ׃בזָ: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	הÞַ״ ַבֳ׃בזָ: +%d
TOOLTIP_POTION_SEC	ַֻהםֹ
TOOLTIP_POTION_TIME	דֹֿ:
TOOLTIP_REQUIREMENT_21_LEVEL	םָּ ֳה Êßזה Þֿ ָבÛÊ ַבד׃Êזל 21.
TOOLTIP_REQUIREMENT_41_LEVEL	םָּ ֳה Êßזה Þֿ ָבÛÊ ַבד׃Êזל 41
TOOLTIP_REQUIREMENT_LEVEL	םָּ ֳה Êßזה Þֿ ָבÛÊ ַבד׃Êזל %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s ד׃Êזל %d ד״בזָ
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d ד״בזָֹ
TOOLTIP_RESIST_BOW	דÞַזדֹ ַב׃וד %d%%	SA
TOOLTIP_RESIST_ELEC	דÞַזדֹ ַבָׁÞ %d%%	SA
TOOLTIP_RESIST_FIRE	דÞַזדֹ ַבהַׁ %d%%	SA
TOOLTIP_RESIST_MAGIC	דÞַזדֹ ַב׃ֽׁ %d%%	SA
TOOLTIP_REST_USABLE_COUNT	דÊָÞם: %d
TOOLTIP_SELLPRICE	׃Úׁ: %s
TOOLTIP_SHAMAN	דװÚז׀
TOOLTIP_SHIELD	ֿׁÚ
TOOLTIP_SHOES	ֽ׀ֱַ
TOOLTIP_SKILL	דוַֹׁ	SNA
TOOLTIP_SKILLBOOK_NAME	ßÊַָ ַבדוַֹׁ
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Þםדֹ ַבוּזד: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Þםדֹ ַבוּזד:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	׃ׁÚֹ ַבוּזד: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	ֿÝַÚ:
TOOLTIP_SKILL_AFFECT_DODGE	Þםדֹ וּזד ַבÚֿז: -
TOOLTIP_SKILL_AFFECT_HEAL	ַ׃ÊÚַֹֿ הÞַ״ ַבֽםַֹ:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	׃ׁÚֹ ַבÊֽׁß: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Ýׁױֹ Úß׃ ַבוּזד ַבּ׃ֿם:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	דÞַזדֹ ײֿ ַבֳײַׁׁ ַבּ׃ֿםֹ:
TOOLTIP_SKILL_COOL_TIME	דֹֿ ַבװֽה: 
TOOLTIP_SKILL_DAMAGE_BONUS	ַײַׁׁ ַבדוַֹׁ %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	דÞַזדֹ ײֿ ַײַׁׁ ַבדוַֹׁ %d%%	SA
TOOLTIP_SKILL_DURATION	ַבדֹֿ:  %d ַֻהםֹ
TOOLTIP_SKILL_FORGET_BOOK_NAME	װׁם״ ַבה׃םַה
TOOLTIP_SKILL_LEVEL	ַבד׃Êזל ַבÊַבם: %d
TOOLTIP_SKILL_LEVEL_MASTER	ַבד׃Êזל ַבÊַבם: %d (ַב־ָםׁ)
TOOLTIP_SKILL_LEVEL_WITH_MAX	ַבד׃Êזל ַבַֽבם: %d (ַבֽֿ ַבֳÞױל %d)
TOOLTIP_SOCKET_EMPTY	ÝַׁÛ
TOOLTIP_SOCKET_REFINABLE_ITEM	[װםֱ דÚ ֵ״ַׁ]
TOOLTIP_SP_REGEN	Êּֿםֿ הÞַ״ ַבֳ׃בזָ +%d%%	SA
TOOLTIP_STR	Þזֹ +%d	SA
TOOLTIP_SURA	׃זֹׁ
TOOLTIP_UNIQUE	Ýׁםֿ דה הזÚו
TOOLTIP_WARRIOR	דַָֽׁ
TOOLTIP_WEAPON	׃בַֽ
TOOLTIP_WRISTLET	׃זַׁ
UI_ACCEPT	Þָזב
UI_CANCEL	ַבÛֱַ
UI_CLOSE	ֵÛבַÞ
UI_DEF_FONT	Tahoma:16
UI_DEF_FONT_LARGE	Tahoma:16
UI_DEF_FONT_SMALL	Tahoma:14
UI_DENY	ׁÝײ
UI_ITEM	Ûׁײ
UI_LEFT_TIME	ַבזÞÊ ַבדÊָÞם: %d ַֻהםֹ
UI_NEXT	ַבÊַבם
UI_NOCONTENTS	־ַב דה ַבדֽÊזםַÊ
UI_NONAME	בַ םזּֿ ֵ׃ד
UI_OK	דזַÝÞ
UI_POS_UNKNOWN	דßַה Ûםׁ דÚׁזÝ
UI_UNKNOWN	Ûםׁ דÚׁזÝ
UPLOAD_MARK_CHECK_NEED_RECONNECT	Úבםß ֵÚַֹֿ ַבÊֽדםב
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Úבםß ֵÚַֹֿ ַבÊֽדםב
USE_ITEM_FAILURE_PRIVATE_SHOP	בַ Ê׃Ê״םÚ ֵ׃ÊÚדַב ו׀ַ ַבÛׁײ¡ בֳהß ַÝÊÊֽÊ דÊּׁ ־ַױ.
USE_SKILL_ERROR_UNKNOWN	־״ֳ דוַֹׁ Ûםׁ דÚׁזÝ: %s
